11.61	11.76	11.91	12.06	12.20	12.35	12.50	12.65	12.80	12.95	13.09	13.24	13.39	13.54	13.69	13.84	13.98	14.13	14.28	14.43
11.60	11.75	11.90	12.05	12.20	12.35	12.49	12.64	12.79	12.94	13.09	13.24	13.38	13.53	13.68	13.83	13.98	14.13	14.27	14.42
11.60	11.75	11.89	12.04	12.19	12.34	12.49	12.64	12.78	12.93	13.08	13.23	13.38	13.53	13.67	13.82	13.97	14.12	14.27	14.42
11.59	11.74	11.89	12.04	12.18	12.33	12.48	12.63	12.78	12.93	13.07	13.22	13.37	13.52	13.67	13.82	13.96	14.11	14.26	14.41
11.59	11.73	11.88	12.03	12.18	12.33	12.48	12.62	12.77	12.92	13.07	13.22	13.37	13.51	13.66	13.81	13.96	14.11	14.26	14.40
11.58	11.73	11.88	12.02	12.17	12.32	12.47	12.62	12.77	12.91	13.06	13.21	13.36	13.51	13.66	13.80	13.95	14.10	14.25	14.40
11.57	11.72	11.87	12.02	12.17	12.31	12.46	12.61	12.76	12.91	13.06	13.20	13.35	13.50	13.65	13.80	13.95	14.09	14.24	14.39
11.57	11.71	11.86	12.01	12.16	12.31	12.46	12.60	12.75	12.90	13.05	13.20	13.35	13.49	13.64	13.79	13.94	14.09	14.24	14.38
11.56	11.71	11.86	12.00	12.15	12.30	12.45	12.60	12.75	12.90	13.04	13.19	13.34	13.49	13.64	13.78	13.93	14.08	14.23	14.38
11.55	11.70	11.85	12.00	12.15	12.30	12.44	12.59	12.74	12.89	13.04	13.19	13.33	13.48	13.63	13.78	13.93	14.08	14.22	14.37
11.55	11.70	11.84	11.99	12.14	12.29	12.44	12.59	12.73	12.88	13.03	13.18	13.33	13.48	13.62	13.77	13.92	14.07	14.22	14.37
11.54	11.69	11.84	11.99	12.13	12.28	12.43	12.58	12.73	12.88	13.02	13.17	13.32	13.47	13.62	13.77	13.91	14.06	14.21	14.36
11.53	11.68	11.83	11.98	12.13	12.28	12.42	12.57	12.72	12.87	13.02	13.17	13.31	13.46	13.61	13.76	13.91	14.06	14.20	14.35
11.53	11.68	11.82	11.97	12.12	12.27	12.42	12.57	12.72	12.86	13.01	13.16	13.31	13.46	13.61	13.75	13.90	14.05	14.20	14.35
11.52	11.67	11.82	11.97	12.12	12.26	12.41	12.56	12.71	12.86	13.01	13.15	13.30	13.45	13.60	13.75	13.90	14.04	14.19	14.34
11.52	11.66	11.81	11.96	12.11	12.26	12.41	12.55	12.70	12.85	13.00	13.15	13.30	13.44	13.59	13.74	13.89	14.04	14.19	14.33
11.51	11.66	11.81	11.95	12.10	12.25	12.40	12.55	12.70	12.84	12.99	13.14	13.29	13.44	13.59	13.73	13.88	14.03	14.18	14.33
11.50	11.65	11.80	11.95	12.10	12.24	12.39	12.54	12.69	12.84	12.99	13.13	13.28	13.43	13.58	13.73	13.88	14.02	14.17	14.32
11.50	11.65	11.79	11.94	12.09	12.24	12.39	12.54	12.68	12.83	12.98	13.13	13.28	13.43	13.57	13.72	13.87	14.02	14.17	14.32
11.49	11.64	11.79	11.94	12.08	12.23	12.38	12.53	12.68	12.83	12.97	13.12	13.27	13.42	13.57	13.72	13.86	14.01	14.16	14.31
11.48	11.63	11.78	11.93	12.08	12.23	12.37	12.52	12.67	12.82	12.97	13.12	13.26	13.41	13.56	13.71	13.86	14.01	14.15	14.30
11.48	11.63	11.77	11.92	12.07	12.22	12.37	12.52	12.66	12.81	12.96	13.11	13.26	13.41	13.55	13.70	13.85	14.00	14.15	14.30
11.47	11.62	11.77	11.92	12.06	12.21	12.36	12.51	12.66	12.81	12.95	13.10	13.25	13.40	13.55	13.70	13.85	13.99	14.14	14.29
11.47	11.61	11.76	11.91	12.06	12.21	12.36	12.50	12.65	12.80	12.95	13.10	13.25	13.39	13.54	13.69	13.84	13.99	14.14	14.28
11.46	11.61	11.76	11.90	12.05	12.20	12.35	12.50	12.65	12.79	12.94	13.09	13.24	13.39	13.54	13.68	13.83	13.98	14.13	14.28
11.45	11.60	11.75	11.90	12.05	12.19	12.34	12.49	12.64	12.79	12.94	13.08	13.23	13.38	13.53	13.68	13.83	13.97	14.12	14.27
11.45	11.59	11.74	11.89	12.04	12.19	12.34	12.48	12.63	12.78	12.93	13.08	13.23	13.37	13.52	13.67	13.82	13.97	14.12	14.26
11.44	11.59	11.74	11.89	12.03	12.18	12.33	12.48	12.63	12.78	12.92	13.07	13.22	13.37	13.52	13.67	13.81	13.96	14.11	14.26
11.43	11.58	11.73	11.88	12.03	12.18	12.32	12.47	12.62	12.77	12.92	13.07	13.21	13.36	13.51	13.66	13.81	13.96	14.10	14.25
11.43	11.58	11.72	11.87	12.02	12.17	12.32	12.47	12.61	12.76	12.91	13.06	13.21	13.36	13.50	13.65	13.80	13.95	14.10	14.25
11.42	11.57	11.72	11.87	12.01	12.16	12.31	12.46	12.61	12.76	12.90	13.05	13.20	13.35	13.50	13.65	13.79	13.94	14.09	14.24
11.41	11.56	11.71	11.86	12.01	12.16	12.30	12.45	12.60	12.75	12.90	13.05	13.19	13.34	13.49	13.64	13.79	13.94	14.08	14.23
11.41	11.56	11.71	11.85	12.00	12.15	12.30	12.45	12.60	12.74	12.89	13.04	13.19	13.34	13.49	13.63	13.78	13.93	14.08	14.23
11.40	11.55	11.70	11.85	12.00	12.14	12.29	12.44	12.59	12.74	12.89	13.03	13.18	13.33	13.48	13.63	13.78	13.92	14.07	14.22
11.40	11.54	11.69	11.84	11.99	12.14	12.29	12.43	12.58	12.73	12.88	13.03	13.18	13.32	13.47	13.62	13.77	13.92	14.07	14.21
11.39	11.54	11.69	11.83	11.98	12.13	12.28	12.43	12.58	12.72	12.87	13.02	13.17	13.32	13.47	13.61	13.76	13.91	14.06	14.21
11.38	11.53	11.68	11.83	11.98	12.12	12.27	12.42	12.57	12.72	12.87	13.02	13.16	13.31	13.46	13.61	13.76	13.90	14.05	14.20
11.38	11.53	11.67	11.82	11.97	12.12	12.27	12.42	12.56	12.71	12.86	13.01	13.16	13.31	13.45	13.60	13.75	13.90	14.05	14.20
11.37	11.52	11.67	11.82	11.96	12.11	12.26	12.41	12.56	12.71	12.85	13.00	13.15	13.30	13.45	13.60	13.74	13.89	14.04	14.19
11.36	11.51	11.66	11.81	11.96	12.11	12.25	12.40	12.55	12.70	12.85	13.00	13.14	13.29	13.44	13.59	13.74	13.89	14.03	14.18
11.36	11.51	11.65	11.80	11.95	12.10	12.25	12.40	12.54	12.69	12.84	12.99	13.14	13.29	13.43	13.58	13.73	13.88	14.03	14.18
11.35	11.50	11.65	11.80	11.95	12.09	12.24	12.39	12.54	12.69	12.84	12.98	13.13	13.28	13.43	13.58	13.73	13.87	14.02	14.17
11.35	11.49	11.64	11.79	11.94	12.09	12.24	12.38	12.53	12.68	12.83	12.98	13.13	13.27	13.42	13.57	13.72	13.87	14.02	14.16
11.34	11.49	11.64	11.78	11.93	12.08	12.23	12.38	12.53	12.67	12.82	12.97	13.12	13.27	13.42	13.56	13.71	13.86	14.01	14.16
11.33	11.48	11.63	11.78	11.93	12.07	12.22	12.37	12.52	12.67	12.82	12.96	13.11	13.26	13.41	13.56	13.71	13.85	14.00	14.15
11.33	11.47	11.62	11.77	11.92	12.07	12.22	12.36	12.51	12.66	12.81	12.96	13.11	13.25	13.40	13.55	13.70	13.85	14.00	14.14
11.32	11.47	11.62	11.77	11.91	12.06	12.21	12.36	12.51	12.66	12.80	12.95	13.10	13.25	13.40	13.55	13.69	13.84	13.99	14.14
11.31	11.46	11.61	11.76	11.91	12.06	12.20	12.35	12.50	12.65	12.80	12.95	13.09	13.24	13.39	13.54	13.69	13.84	13.98	14.13
11.31	11.46	11.60	11.75	11.90	12.05	12.20	12.35	12.49	12.64	12.79	12.94	13.09	13.24	13.38	13.53	13.68	13.83	13.98	14.13
11.30	11.45	11.60	11.75	11.89	12.04	12.19	12.34	12.49	12.64	12.78	12.93	13.08	13.23	13.38	13.53	13.67	13.82	13.97	14.12
11.29	11.44	11.59	11.74	11.89	12.04	12.18	12.33	12.48	12.63	12.78	12.93	13.07	13.22	13.37	13.52	13.67	13.82	13.97	14.11
11.29	11.44	11.59	11.73	11.88	12.03	12.18	12.33	12.48	12.62	12.77	12.92	13.07	13.22	13.37	13.51	13.66	13.81	13.96	14.11
11.28	11.43	11.58	11.73	11.88	12.02	12.17	12.32	12.47	12.62	12.77	12.91	13.06	13.21	13.36	13.51	13.66	13.80	13.95	14.10
11.28	11.42	11.57	11.72	11.87	12.02	12.17	12.31	12.46	12.61	12.76	12.91	13.06	13.20	13.35	13.50	13.65	13.80	13.95	14.09
11.27	11.42	11.57	11.71	11.86	12.01	12.16	12.31	12.46	12.60	12.75	12.90	13.05	13.20	13.35	13.49	13.64	13.79	13.94	14.09
11.26	11.41	11.56	11.71	11.86	12.01	12.15	12.30	12.45	12.60	12.75	12.90	13.04	13.19	13.34	13.49	13.64	13.79	13.93	14.08
11.26	11.41	11.55	11.70	11.85	12.00	12.15	12.30	12.44	12.59	12.74	12.89	13.04	13.19	13.33	13.48	13.63	13.78	13.93	14.08
11.25	11.40	11.55	11.70	11.84	11.99	12.14	12.29	12.44	12.59	12.73	12.88	13.03	13.18	13.33	13.48	13.62	13.77	13.92	14.07
11.24	11.39	11.54	11.69	11.84	11.99	12.13	12.28	12.43	12.58	12.73	12.88	13.02	13.17	13.32	13.47	13.62	13.77	13.91	14.06
11.24	11.39	11.53	11.68	11.83	11.98	12.13	12.28	12.42	12.57	12.72	12.87	13.02	13.17	13.31	13.46	13.61	13.76	13.91	14.06
11.23	11.38	11.53	11.68	11.83	11.97	12.12	12.27	12.42	12.57	12.72	12.86	13.01	13.16	13.31	13.46	13.61	13.75	13.90	14.05
11.23	11.37	11.52	11.67	11.82	11.97	12.12	12.26	12.41	12.56	12.71	12.86	13.01	13.15	13.30	13.45	13.60	13.75	13.90	14.04
